report_id,run_id,app_id,category,summary,customer_verdict,customer_comment
BR-039,run-0308,app-bank-01,visual-layout,Loading spinner visible in the screenshot of the profile page.,rejected,Screenshot taken mid-load.
BR-040,run-0268,app-health-01,performance,App takes 14 seconds to open on a mid-range Android phone.,accepted,
BR-041,run-0015,app-food-01,functional,Cart total does not include the delivery fee shown on the next screen. Totals differ by the delivery fee on every order tested.,rejected,Works as intended in our build.
BR-042,run-0093,app-ride-01,performance,Battery use doubles while the app sits on the tracking screen.,accepted,
BR-043,run-0068,app-retail-02,visual-layout,"Pay button is brand blue, but the reference screenshot shows it grey. The reference was taken before the form was filled in.",accepted,
BR-044,run-0112,app-travel-01,accessibility,Text does not grow when the system font size is set to large.,accepted,
BR-045,run-0294,app-retail-01,visual-layout,Vietnamese product names are cut off after 12 characters on the product card.,accepted,
BR-046,run-0400,app-bank-01,crash,Crash on launch when the device clock is set to a 12-hour format in Thai.,accepted,
BR-047,run-0195,app-food-01,visual-layout,Promotion text differs from the reference screenshot.,rejected,Promotions change daily.
BR-048,run-0386,app-retail-02,crash,App closes when the user rotates the phone on the order summary screen. Reproduced 3 of 3 runs.,accepted,
BR-049,run-0243,app-health-01,functional,Logout asks the user to confirm before signing out.,accepted,
BR-050,run-0005,app-retail-02,functional,Discount code is applied twice when the checkout page is refreshed.,accepted,
BR-051,run-0309,app-edu-01,network-flaky,Image failed to load on one run of the gallery screen.,rejected,Could not reproduce.
BR-052,run-0138,app-food-01,crash,App closes on tapping Back twice quickly from the payment page.,accepted,
BR-053,run-0014,app-bank-01,crash,Crash when an empty search is submitted from the voice search button.,accepted,
BR-054,run-0168,app-health-01,visual-layout,Avatar shows initials instead of a photo for a test account with no photo.,rejected,Correct for accounts with no photo.
BR-055,run-0277,app-travel-01,functional,Tapping the logo on the home screen does nothing.,rejected,The logo is not a button.
BR-056,run-0140,app-retail-01,network-flaky,Order is submitted twice when the network reconnects during checkout.,accepted,
BR-057,run-0384,app-retail-01,visual-layout,Banner image is 2 pixels lower than on the previous run.,rejected,Not a defect.
BR-058,run-0194,app-edu-01,functional,Password reset email link opens the home screen instead of the reset form.,accepted,
BR-059,run-0284,app-travel-01,functional,Date picker lets the user book a return flight before the outbound flight.,accepted,
BR-060,run-0190,app-food-01,network-flaky,Payment page shows a blank screen with no retry option when the network drops for 5 seconds.,accepted,
